iss,CodeEx,Entité,Tunnel,Axe,Sens,Pr,Description,Local,Tatouage
IS523,CAM/IS523,AGER_EST,BOISSY,N19,Y,170832.0,Caméra Issue de secours n°523 - Tunnel de Boissy,L11.587T,E73.851T
IS524,CAM/IS524,AGER_EST,BOISSY,N19,Y,180027.0,Caméra Issue de secours n°524 - Tunnel de Boissy,L11.588U,E73.852U
IS266,CAM/IS266,AGER_EST,NOGENT,A86EST,E,310200.0,Caméra Issue de secours n°266 - Tunnel de Nogent,L10.498X,E73.923E
IS221,CAM/IS221,AGER_NORD,BOBIGNY,A86NORD,I,200130.0,Caméra Issue de secours n°221 - Tunnel de Bobigny Drancy,L10.454V,E73.042F
IS222,CAM/IS222,AGER_NORD,BOBIGNY,A86NORD,I,200340.0,Caméra Issue de secours n°222 - Tunnel de Bobigny Drancy,L10.455W,E73.043G
IS224,CAM/IS224,AGER_NORD,BOBIGNY,A86NORD,I,200660.0,Caméra Issue de secours n°224 - Tunnel de Bobigny Drancy,L10.457Y,E73.044H
IS225,CAM/IS225,AGER_NORD,BOBIGNY,A86NORD,I,200930.0,Caméra Issue de secours n°225 - Tunnel de Bobigny Drancy,L10.458A,E73.045J
IS227,CAM/IS227,AGER_NORD,BOBIGNY,A86NORD,I,210130.0,Caméra Issue de secours n°227 - Tunnel de Bobigny Drancy,L10.461E,E73.046K
IS229,CAM/IS229,AGER_NORD,BOBIGNY,A86NORD,I,210710.0,Caméra Issue de secours n°229 - Tunnel de Bobigny Drancy,L10.463G,E73.047L
IS230,CAM/IS230,AGER_NORD,BOBIGNY,A86NORD,I,210930.0,Caméra Issue de secours n°230 - Tunnel de Bobigny Drancy,L10.464H,E73.048M
IS232,CAM/IS232,AGER_NORD,BOBIGNY,A86NORD,I,220120.0,Caméra Issue de secours n°232 - Tunnel de Bobigny Drancy,L10.466K,E73.049N
IS234,CAM/IS234,AGER_NORD,BOBIGNY,A86NORD,E,220230.0,Caméra Issue de secours n°234 - Tunnel de Bobigny Drancy,L10.468M,E73.051R
IS235,CAM/IS235,AGER_NORD,BOBIGNY,A86NORD,E,210991.0,Caméra Issue de secours n°235 - Tunnel de Bobigny Drancy,L10.469N,E73.052S
IS236,CAM/IS236,AGER_NORD,BOBIGNY,A86NORD,E,210770.0,Caméra Issue de secours n°236 - Tunnel de Bobigny Drancy,L10.471R,E73.053T
IS237,CAM/IS237,AGER_NORD,BOBIGNY,A86NORD,E,210590.0,Caméra Issue de secours n°237 - Tunnel de Bobigny Drancy,L10.472S,E73.054U
IS238,CAM/IS238,AGER_NORD,BOBIGNY,A86NORD,E,210220.0,Caméra Issue de secours n°238 - Tunnel de Bobigny Drancy,L10.473T,E73.055V
IS239,CAM/IS239,AGER_NORD,BOBIGNY,A86NORD,E,200900.0,Caméra Issue de secours n°239 - Tunnel de Bobigny Drancy,L10.474U,E73.056W
IS241,CAM/IS241,AGER_NORD,BOBIGNY,A86NORD,E,200530.0,Caméra Issue de secours n°241 - Tunnel de Bobigny Drancy,L10.476W,E73.057X
IS243,CAM/IS243,AGER_NORD,BOBIGNY,A86NORD,E,200360.0,Caméra Issue de secours n°243 - Tunnel de Bobigny Drancy,L10.478Y,E73.058Y
IS245,CAM/IS245,AGER_NORD,BOBIGNY,A86NORD,E,200050.0,Caméra Issue de secours n°245 - Tunnel de Bobigny Drancy,L10.481D,E73.059A
IS211,CAM/IS211,AGER_NORD,LUMEN_NORTON,A86NORD,I,180990.0,Caméra Issue de secours n°211 - Tunnel Norton,L10.449P,E73.061D
IS213,CAM/IS213,AGER_NORD,LUMEN_NORTON,A86NORD,E,190600.0,Caméra Issue de secours n°213 - Tunnel Lumen,L10.452T,E73.063F
IS214,CAM/IS214,AGER_NORD,LUMEN_NORTON,A86NORD,E,190410.0,Caméra Issue de secours n°214 - Tunnel Lumen,L10.453U,E73.064G
IS203,CAM/IS203,AGER_NORD,LA_COURNEUVE,A86NORD,E,150826.0,Caméra Issue de secours n°203 - Tunnel de La Courneuve,L10.447M,E73.124D
