CodeEx,PC,Tatouage,triCode,Fermeture
IS473,PCN,L10.649D,TAV,TAV
IS474,PCN,L10.651F,TAV,TAV
IS475,PCN,L10.652G,TAV,TAV
IS476,PCN,L10.653H,TAV,TAV
IS481,PCS,L10.654J,ORL,ORL
IS482,PCS,L10.655K,ORL,ORL
IS492,PCO,L10.666X,CHE,CHE
IS493,PCO,L10.667Y,CHE,CHE
IS501,PCO,L10.668A,NEU,A14&NEU-Y
IS502,PCO,L10.669C,NEU,A14&NEU-W
IS511,PCO,L10.671E,SEV,SEV
IS512,PCO,L10.672F,SEV,SEV
IS513,PCO,L10.673G,SEV,SEV
IS514,PCO,L10.674H,SEV,SEV
IS515,PCO,L10.675J,SEV,SEV
IS516,PCO,L10.676K,SEV,SEV
IS155,PCO,L10.834X,A14,A14&NEU-W
IS156,PCO,L10.835Y,A14,A14&NEU-W
IS157,PCO,L10.836A,A14,A14&NEU-W
IS158,PCO,L10.837C,A14,A14&NEU-W
IS503,PCO,L11.513F,NEU,A14&NEU-W
IS504,PCO,L11.514G,NEU,A14&NEU-W
IS463,PCO,L11.515H,SCL,BAP&SCL-W
IS521,PCE,L11.585R,BOI,BOI-Y
IS522,PCE,L11.586S,BOI,BOI-Y
IS523,PCE,L11.587T,BOI,BOI-Y
IS524,PCE,L11.588U,BOI,BOI-Y
IS525,PCE,L11.589V,BOI,BOI-W
IS526,PCE,L11.591X,BOI,BOI-W
IS527,PCE,L11.592Y,BOI,BOI-W
IS528,PCE,L11.593A,BOI,BOI-W
IS185,PCO,L11.773P,ECH,NAN&RUE-I
IS186,PCO,L11.774R,ECH,NAN&RUE-I
IS421A,PCO,L11.916K,FLF,FLF-Y
IS421B,PCO,L11.917L,FLF,FLF-Y
IS423A,PCO,L11.918M,FLF,FLF-W
IS423B,PCO,L11.919N,FLF,FLF-W
